time,bid_price_min,bid_price_q1,bid_price_median,bid_price_q3,bid_price_max,bid_price_mean,bid_price_std,ask_price_min,ask_price_q1,ask_price_median,ask_price_q3,ask_price_max,ask_price_mean,ask_price_std,bid_vol_price_sum,bid_vol_price_min,bid_vol_price_q1,bid_vol_price_median,bid_vol_price_q3,bid_vol_price_max,bid_vol_price_mean,bid_vol_price_std,ask_vol_price_sum,ask_vol_price_min,ask_vol_price_q1,ask_vol_price_median,ask_vol_price_q3,ask_vol_price_max,ask_vol_price_mean,ask_vol_price_std,spread_min,spread_btwn_means,spread_btwn_medians,spread_btwn_vol_sums,spread_btwn_vol_means,spread_btwn_vol_medians
2.806632,0.01,1687.0175,2400.285,3039.865,3463.25,2244.317168904028,923.7855946413432,3463.26,3622.545,4100.5,5800.635,33333333.33,36383.70815132049,710817.876292623,58262883.18131352,0.0009416,27.5244457788,109.28536297099998,987.023812406075,2813482.9818,5836.794548318325,54148.33450939589,477819954.9937599,0.7941946752,128.6439535808,1799.9996052015,7759.6817003085,86006715.38140693,113685.45205656908,1686209.7410560518,0.0100000000002182,34139.390982416466,1700.215,419557071.8124464,107848.65750825076,1690.7142422305
2.865668,0.01,1687.0175,2400.285,3039.865,3463.25,2244.317168904028,923.7855946413432,3463.26,3622.545,4100.5,5800.635,33333333.33,36383.70815132049,710817.876292623,58262883.18131352,0.0009416,27.5244457788,109.28536297099998,987.023812406075,2813482.9818,5836.794548318325,54148.33450939589,477819954.9937599,0.7941946752,128.6439535808,1799.9996052015,7759.6817003085,86006715.38140693,113685.45205656908,1686209.7410560518,0.0100000000002182,34139.390982416466,1700.215,419557071.8124464,107848.65750825076,1690.7142422305
2.947861,0.01,1687.125,2400.51,3039.9700000000003,3463.25,2244.439305819894,923.8199214152698,3463.26,3622.23,4100.49,5800.0,33333333.33,36368.050382877525,710649.1775723842,58270419.120098576,0.0009416,27.5489915576,109.285363018,988.53395915315,2813482.9818,5836.964752088408,54145.65452944101,477807249.0741887,0.7941946752,127.05,1794.87,7774.0,86006715.38140693,113628.35887614476,1685810.715569466,0.0100000000002182,34123.611077057634,1699.9799999999996,419536829.95409006,107791.39412405634,1685.584636982
3.080685,0.01,1687.125,2400.51,3039.9700000000003,3463.25,2244.439305819894,923.8199214152698,3463.26,3622.23,4100.49,5800.0,33333333.33,36368.050382877525,710649.1775723842,58270419.120098576,0.0009416,27.5489915576,109.285363018,988.53395915315,2813482.9818,5836.964752088408,54145.65452944101,477807249.0741887,0.7941946752,127.05,1794.87,7774.0,86006715.38140693,113628.35887614476,1685810.715569466,0.0100000000002182,34123.611077057634,1699.9799999999996,419536829.95409006,107791.39412405634,1685.584636982
3.243124,0.01,1687.125,2400.51,3039.9700000000003,3463.25,2244.439305819894,923.8199214152698,3463.26,3622.23,4100.49,5800.0,33333333.33,36368.050382877525,710649.1775723842,58270419.120098576,0.0009416,27.5489915576,109.285363018,988.53395915315,2813482.9818,5836.964752088408,54145.65452944101,477807249.0741887,0.7941946752,127.05,1794.87,7774.0,86006715.38140693,113628.35887614476,1685810.715569466,0.0100000000002182,34123.611077057634,1699.9799999999996,419536829.95409006,107791.39412405634,1685.584636982
3.379745,0.01,1685.4775,2399.965,3039.3925,3462.69,2243.8231038284225,923.6413903658556,3462.95,3622.2075,4100.245,5799.5,33333333.33,36360.22075844032,710564.8735342313,58265045.97499169,0.0009416,27.480475,109.2853626857,989.999971582,2813482.9818,5839.35117007333,54161.10004607894,477821993.98578393,0.7941946752,128.165275,1792.5775,7870.891157794425,86006715.38140693,113604.84878406656,1685610.9216788523,0.2599999999997635,34116.3976546119,1700.2799999999995,419556948.01079226,107765.49761399324,1683.2921373143
3.382043,0.01,1685.4775,2399.965,3039.3925,3462.69,2243.8231038284225,923.6413903658556,3462.95,3622.2075,4100.245,5799.5,33333333.33,36360.22075844032,710564.8735342313,58265045.97499169,0.0009416,27.480475,109.2853626857,989.999971582,2813482.9818,5839.35117007333,54161.10004607894,477821993.98578393,0.7941946752,128.165275,1792.5775,7870.891157794425,86006715.38140693,113604.84878406656,1685610.9216788523,0.2599999999997635,34116.3976546119,1700.2799999999995,419556948.01079226,107765.49761399324,1683.2921373143
3.437186,0.01,1685.4775,2399.965,3039.3925,3462.69,2243.8231038284225,923.6413903658556,3462.95,3622.2075,4100.245,5799.5,33333333.33,36360.22075844032,710564.8735342313,58265045.97499169,0.0009416,27.480475,109.2853626857,989.999971582,2813482.9818,5839.35117007333,54161.10004607894,477821993.98578393,0.7941946752,128.165275,1792.5775,7870.891157794425,86006715.38140693,113604.84878406656,1685610.9216788523,0.2599999999997635,34116.3976546119,1700.2799999999995,419556948.01079226,107765.49761399324,1683.2921373143
3.532858,0.01,1685.955,2400.0,3039.4700000000003,3462.69,2243.9448702274776,923.675197929878,3462.96,3622.1,4100.0,5799.0,33333333.33,36352.39300451628,710480.5995772197,58279047.41375494,0.0009416,27.48695,109.2853627348,989.99997029,2813482.9818,5840.169096478098,54158.455290617865,477803053.0196036,0.7941946752,128.30615,1794.87,7786.0,86006715.38140693,113573.34276672298,1685411.7499316582,0.2699999999999818,34108.4481342888,1700.0,419524005.6058487,107733.17367024488,1685.5846372652
3.535769,0.01,1685.955,2400.0,3039.4700000000003,3462.69,2243.9448702274776,923.675197929878,3462.96,3622.1,4100.0,5799.0,33333333.33,36352.39300451628,710480.5995772197,58279047.41375494,0.0009416,27.48695,109.2853627348,989.99997029,2813482.9818,5840.169096478098,54158.455290617865,477803053.0196036,0.7941946752,128.30615,1794.87,7786.0,86006715.38140693,113573.34276672298,1685411.7499316582,0.2699999999999818,34108.4481342888,1700.0,419524005.6058487,107733.17367024488,1685.5846372652
3.613346,0.01,1685.4775,2399.965,3039.3925,3462.69,2243.8227791140507,923.640962422665,3462.94,3622.2075,4100.245,5799.5,33333333.33,36360.20751307655,710564.874147136,58280162.494964175,0.0009416,27.480475,109.2853626857,989.999971582,2813482.9818,5840.8661550375,54161.097070611,477807978.2686615,0.7941946752,127.4683165791,1796.3125,7792.0,86006715.38140693,113601.51646901129,1685611.1108902807,0.25,34116.3847339625,1700.2799999999995,419527815.7736973,107760.6503139738,1687.0271373143
3.700332,0.01,1685.4775,2399.965,3039.3925,3462.69,2243.8227791140507,923.640962422665,3462.94,3622.2075,4100.245,5799.5,33333333.33,36360.20751307655,710564.874147136,58280162.494964175,0.0009416,27.480475,109.2853626857,989.999971582,2813482.9818,5840.8661550375,54161.097070611,477807978.2686615,0.7941946752,127.4683165791,1796.3125,7792.0,86006715.38140693,113601.51646901129,1685611.1108902807,0.25,34116.3847339625,1700.2799999999995,419527815.7736973,107760.6503139738,1687.0271373143
3.727309,0.01,1686.91,2400.06,3039.64,3462.72,2244.189316701733,923.7440408146408,3462.99,3621.98,4099.51,5798.0,33333333.33,36336.76020432406,710312.1410444868,58290039.87799844,0.0009416,27.4999,109.28536292399998,989.999967706,2813482.9818,5840.100178138307,54153.056795740325,477801850.23424286,0.7941946752,128.0244,1794.87,7774.0,86006715.38140693,113519.09010079422,1685013.1071090675,0.2699999999999818,34092.57088762233,1699.4500000000005,419511810.3562445,107678.9899226559,1685.5846370759998
3.742817,0.01,1686.91,2400.06,3039.64,3462.72,2244.189316701733,923.7440408146408,3462.99,3621.98,4099.51,5798.0,33333333.33,36336.76020432406,710312.1410444868,58290039.87799844,0.0009416,27.4999,109.28536292399998,989.999967706,2813482.9818,5840.100178138307,54153.056795740325,477801850.23424286,0.7941946752,128.0244,1794.87,7774.0,86006715.38140693,113519.09010079422,1685013.1071090675,0.2699999999999818,34092.57088762233,1699.4500000000005,419511810.3562445,107678.9899226559,1685.5846370759998
3.827873,0.01,1686.91,2400.06,3039.64,3462.73,2244.189408876866,923.7441622719688,3462.99,3622.1,4100.0,5799.0,33333333.33,36352.38821487996,710480.5997988596,58302528.97130754,0.0009416,27.4999,109.28536292399998,989.999972874,2813482.9818,5841.351464914091,54153.20770335109,477801849.84543145,0.7941946752,127.6536777194,1794.87,7819.327315588851,86006715.38140693,113573.05677333764,1685411.770862496,0.2599999999997635,34108.19880600309,1699.94,419499320.87412393,107731.70530842357,1685.5846370759998
3.901192,0.01,1686.91,2400.06,3039.64,3462.73,2244.189408876866,923.7441622719688,3462.99,3622.1,4100.0,5799.0,33333333.33,36352.38821487996,710480.5997988596,58302528.97130754,0.0009416,27.4999,109.28536292399998,989.999972874,2813482.9818,5841.351464914091,54153.20770335109,477801849.84543145,0.7941946752,127.6536777194,1794.87,7819.327315588851,86006715.38140693,113573.05677333764,1685411.770862496,0.2599999999997635,34108.19880600309,1699.94,419499320.87412393,107731.70530842357,1685.5846370759998
3.943512,0.01,1687.34,2401.0,3040.21,3462.68,2244.6760620931395,923.8790116530388,3462.99,3621.995,4099.755,5798.5,33333333.33,36344.56928707224,710396.3555834267,58303931.51626636,0.0009416,27.4999,109.285363018,989.999976308,2813482.9818,5839.151879445805,54135.50583800324,477808308.7720127,0.7941946752,128.447025,1795.3649999999998,7808.6636577944255,86006715.38140693,113547.60189448972,1685212.3037076327,0.3099999999999454,34099.893224979096,1698.755,419504377.2557464,107708.4500150439,1686.0796369819998
3.999828,0.01,1687.34,2401.0,3040.21,3462.68,2244.6760620931395,923.8790116530388,3462.99,3621.995,4099.755,5798.5,33333333.33,36344.56928707224,710396.3555834267,58303931.51626636,0.0009416,27.4999,109.285363018,989.999976308,2813482.9818,5839.151879445805,54135.50583800324,477808308.7720127,0.7941946752,128.447025,1795.3649999999998,7808.6636577944255,86006715.38140693,113547.60189448972,1685212.3037076327,0.3099999999999454,34099.893224979096,1698.755,419504377.2557464,107708.4500150439,1686.0796369819998
4.051544,0.01,1687.125,2400.51,3039.9700000000003,3462.68,2244.4322247821297,923.8109070824528,3463.01,3621.995,4099.755,5798.5,33333333.33,36344.57015922052,710396.3555430596,58302832.03964658,0.0009416,27.48695,109.28536292399998,989.9999847055,2813482.9818,5840.211563622817,54140.87206704177,477810511.6755106,0.7941946752,127.8390388597,1797.8850000000002,7808.6636577944255,86006715.38140693,113548.12539817268,1685212.2692389302,0.330000000000382,34100.13793443839,1699.245,419507679.6358641,107707.91383454986,1688.599637076
4.101645,0.01,1686.4325,2400.03,3039.565,3462.68,2244.075887775551,923.7209622088976,3463.01,3622.23,4100.49,5800.0,33333333.33,36368.02766706301,710649.1786237421,58301309.98546319,0.0009416,27.493425,109.2853628294,990.0024692951248,2813482.9818,5841.814627801922,54148.92198290052,477807513.60344255,0.7941946752,128.0244,1796.765,7840.654631177701,86006715.38140693,113628.42178440964,1685810.634814999,0.330000000000382,34123.95177928746,1700.46,419506203.61797935,107786.60715660772,1687.4796371706002
4.114077,0.01,1686.4325,2400.03,3039.565,3462.68,2244.075887775551,923.7209622088976,3463.01,3622.23,4100.49,5800.0,33333333.33,36368.02766706301,710649.1786237421,58301309.98546319,0.0009416,27.493425,109.2853628294,990.0024692951248,2813482.9818,5841.814627801922,54148.92198290052,477807513.60344255,0.7941946752,128.0244,1796.765,7840.654631177701,86006715.38140693,113628.42178440964,1685810.634814999,0.330000000000382,34123.95177928746,1700.46,419506203.61797935,107786.60715660772,1687.4796371706002
4.181525,0.01,1686.4325,2400.03,3039.565,3462.68,2244.075887775551,923.7209622088976,3463.01,3622.23,4100.49,5800.0,33333333.33,36368.02766706301,710649.1786237421,58301309.98546319,0.0009416,27.493425,109.2853628294,990.0024692951248,2813482.9818,5841.814627801922,54148.92198290052,477807513.60344255,0.7941946752,128.0244,1796.765,7840.654631177701,86006715.38140693,113628.42178440964,1685810.634814999,0.330000000000382,34123.95177928746,1700.46,419506203.61797935,107786.60715660772,1687.4796371706002
4.283655,0.01,1686.4325,2400.03,3039.565,3462.68,2244.075887775551,923.7209622088976,3463.01,3622.23,4100.49,5800.0,33333333.33,36368.02766706301,710649.1786237421,58301309.98546319,0.0009416,27.493425,109.2853628294,990.0024692951248,2813482.9818,5841.814627801922,54148.92198290052,477807513.60344255,0.7941946752,128.0244,1796.765,7840.654631177701,86006715.38140693,113628.42178440964,1685810.634814999,0.330000000000382,34123.95177928746,1700.46,419506203.61797935,107786.60715660772,1687.4796371706002
4.352329,0.01,1684.7575,2399.58,3039.31,3462.63,2243.5870829991977,923.5834634000166,3462.96,3622.2075,4100.245,5799.5,33333333.33,36360.20469329529,710564.8742777033,58254433.635685936,0.0009416,27.427504598475,109.2853625286,986.931437218225,2813482.9818,5839.458062919601,54159.57851218312,477812883.60370696,0.7941946752,128.165275,1796.3125,7829.990973383276,86006715.38140693,113602.68273982572,1685611.040955017,0.3299999999999272,34116.61761029609,1700.665,419558449.968021,107763.22467690612,1687.0271374714
4.461003,0.01,1684.7575,2399.58,3039.31,3462.63,2243.5870829991977,923.5834634000166,3462.96,3622.2075,4100.245,5799.5,33333333.33,36360.20469329529,710564.8742777033,58254433.635685936,0.0009416,27.427504598475,109.2853625286,986.931437218225,2813482.9818,5839.458062919601,54159.57851218312,477812883.60370696,0.7941946752,128.165275,1796.3125,7829.990973383276,86006715.38140693,113602.68273982572,1685611.040955017,0.3299999999999272,34116.61761029609,1700.665,419558449.968021,107763.22467690612,1687.0271374714
4.587763,0.01,1684.7575,2399.58,3039.31,3462.63,2243.5870829991977,923.5834634000166,3462.96,3622.2075,4100.245,5799.5,33333333.33,36360.20469329529,710564.8742777033,58254433.635685936,0.0009416,27.427504598475,109.2853625286,986.931437218225,2813482.9818,5839.458062919601,54159.57851218312,477812883.60370696,0.7941946752,128.165275,1796.3125,7829.990973383276,86006715.38140693,113602.68273982572,1685611.040955017,0.3299999999999272,34116.61761029609,1700.665,419558449.968021,107763.22467690612,1687.0271374714
4.605305,0.01,1687.505,2401.175,3040.375,3462.63,2244.802232124975,923.9185319358796,3462.82,3621.935,4099.3150000000005,5797.0,33333333.33,36328.94366508314,710227.9569647472,58290121.78413592,0.0009416,27.5244457788,109.285363109,990.0074216793748,2813482.9818,5837.184236344475,54132.41836227827,477816496.84458864,0.7941946752,128.6159267904,1792.5775,7792.0,86006715.38140693,113495.6049512087,1684813.6570841814,0.1900000000000545,34084.14143295817,1698.1400000000003,419526375.0604527,107658.42071486425,1683.292136891
4.661674,0.01,1687.505,2401.175,3040.375,3462.63,2244.802232124975,923.9185319358796,3462.82,3621.935,4099.3150000000005,5797.0,33333333.33,36328.94366508314,710227.9569647472,58290121.78413592,0.0009416,27.5244457788,109.285363109,990.0074216793748,2813482.9818,5837.184236344475,54132.41836227827,477816496.84458864,0.7941946752,128.6159267904,1792.5775,7792.0,86006715.38140693,113495.6049512087,1684813.6570841814,0.1900000000000545,34084.14143295817,1698.1400000000003,419526375.0604527,107658.42071486425,1683.292136891
4.7131,0.01,1687.505,2401.175,3040.375,3462.63,2244.802232124975,923.9185319358796,3462.82,3621.935,4099.3150000000005,5797.0,33333333.33,36328.94366508314,710227.9569647472,58290121.78413592,0.0009416,27.5244457788,109.285363109,990.0074216793748,2813482.9818,5837.184236344475,54132.41836227827,477816496.84458864,0.7941946752,128.6159267904,1792.5775,7792.0,86006715.38140693,113495.6049512087,1684813.6570841814,0.1900000000000545,34084.14143295817,1698.1400000000003,419526375.0604527,107658.42071486425,1683.292136891
4.717495,0.01,1687.125,2400.51,3039.9700000000003,3462.63,2244.4517469698485,923.8359348654316,3462.81,3622.1,4100.0,5799.0,33333333.33,36352.38027335393,710480.6001664263,58288861.87612013,0.0009416,27.48695,109.28536292399998,990.99516673575,2813482.9818,5838.81216829812,54140.46791375932,477814779.92315984,0.7941946752,128.30615,1795.86,7819.327315588851,86006715.38140693,113576.13024082716,1685411.568429422,0.1799999999998363,34107.92852638408,1699.4899999999998,419525918.0470397,107737.31807252904,1686.5746370759998
4.831423,0.01,1687.505,2401.175,3040.375,3462.63,2244.8170839174845,923.9375419395816,3462.8,3621.995,4099.755,5798.5,33333333.33,36344.56431321293,710396.3558136175,58309446.15219644,0.0009416,27.5244457788,109.285363109,991.999983804075,2813482.9818,5839.119382354941,54132.39355727958,477819296.5414899,0.7941946752,127.8390388597,1795.3649999999998,7808.6636577944255,86006715.38140693,113550.21305643771,1685212.1374393103,0.1700000000000727,34099.74722929545,1698.58,419509850.38929343,107711.09367408276,1686.0796368909998
4.843242,0.01,1687.505,2401.175,3040.375,3462.63,2244.8170839174845,923.9375419395816,3462.8,3621.995,4099.755,5798.5,33333333.33,36344.56431321293,710396.3558136175,58309446.15219644,0.0009416,27.5244457788,109.285363109,991.999983804075,2813482.9818,5839.119382354941,54132.39355727958,477819296.5414899,0.7941946752,127.8390388597,1795.3649999999998,7808.6636577944255,86006715.38140693,113550.21305643771,1685212.1374393103,0.1700000000000727,34099.74722929545,1698.58,419509850.38929343,107711.09367408276,1686.0796368909998
4.855414,0.01,1687.505,2401.175,3040.375,3462.63,2244.8170839174845,923.9375419395816,3462.8,3622.1,4100.0,5799.0,33333333.33,36352.3802020442,710480.6001697272,58309446.15219644,0.0009416,27.5244457788,109.285363109,991.999983804075,2813482.9818,5839.119382354941,54132.39355727958,477818603.9174899,0.7941946752,127.6536777194,1795.86,7819.327315588851,86006715.38140693,113577.03920073446,1685411.513848217,0.1700000000000727,34107.56311812672,1698.8249999999998,419509157.7652935,107737.91981837952,1686.574636891
4.929986,0.01,1687.505,2401.175,3040.375,3462.63,2244.8170839174845,923.9375419395816,3462.8,3622.1,4100.0,5799.0,33333333.33,36352.3802020442,710480.6001697272,58309446.15219644,0.0009416,27.5244457788,109.285363109,991.999983804075,2813482.9818,5839.119382354941,54132.39355727958,477818603.9174899,0.7941946752,127.6536777194,1795.86,7819.327315588851,86006715.38140693,113577.03920073446,1685411.513848217,0.1700000000000727,34107.56311812672,1698.8249999999998,419509157.7652935,107737.91981837952,1686.574636891
